Run Name,Stitch Type,Overlay,Naming Template,Filepath,XY Name,key1,key2
Revision8,L,Y,Mouse {key1}_Slide{key2}_4X_{C},G:\Shared\lab_members\wojick_jessica\Experiments\Inhibitory Chemogenetics in NAcre-projecting BLAnoci neurons\Data\Anatomy\oScarlet\4X,XY01,2395A.1924,1
,,,,,XY02,2395A.1924,2
,,,,,XY03,2395A.1924,3
Revision9,L,Y,Mouse {key1}_Slide{key2}_4X_{C},G:\Shared\lab_members\wojick_jessica\Experiments\Inhibitory Chemogenetics in NAcre-projecting BLAnoci neurons\Data\Anatomy\oScarlet\4X,XY01,2395A.1924,4
,,,,,XY02,2395A.1924,5
,,,,,XY03,2395A.1924,6
Revision10,L,Y,Mouse {key1}_Slide{key2}_4X_{C},G:\Shared\lab_members\wojick_jessica\Experiments\Inhibitory Chemogenetics in NAcre-projecting BLAnoci neurons\Data\Anatomy\oScarlet\4X,XY01,2395A.1924,7
,,,,,XY02,2395A.1924,8
